,N,Rooms,Price,Totsp,Livesp,Kitsp,Dist,Metrdist,Walk,Brick,Tel,Bal,Floor,Nfloors,New,District
3685,150122775,2,5990000.0,44.0,32,6,13.9,7,1,0.0,1.0,0.0,8,9,0.0,57.0
3686,149205220,2,6000000.0,45.0,30,9,14.13,5,0,0.0,1.0,0.0,2,9,0.0,57.0
3687,150650705,2,6000000.0,45.0,28,6,14.44,20,1,0.0,1.0,0.0,3,9,0.0,57.0
3688,149564817,3,6250000.0,60.0,44,6,14.91,15,1,0.0,0.0,1.0,9,9,0.0,57.0
3689,148461129,2,6450000.0,46.0,28,6,14.78,10,1,0.0,1.0,1.0,6,9,0.0,57.0
3690,149544629,2,6500000.0,45.2,28.3,6.2,13.9,7,1,0.0,1.0,1.0,2,9,0.0,57.0
3691,150141990,3,7700000.0,76.0,48,8,14.36,19,1,0.0,1.0,1.0,5,9,0.0,57.0
3692,148740789,1,5300000.0,34.4,19.5,9,14.49,10,1,0.0,0.0,0.0,1,9,0.0,57.0
3693,150854122,свободнаяпланировка ,21500000.0,117.0,57,14,15.06,11,0,1.0,1.0,1.0,18,22,0.0,57.0
3694,149455229,3,6500000.0,57.0,38,6,13.61,10,1,0.0,0.0,1.0,1,9,0.0,57.0
3695,1711530,2,6600000.0,44.5,28,6,14.69,13,1,0.0,1.0,0.0,7,9,0.0,57.0
3696,150584739,3,6800000.0,60.0,43.1,6,15.43,15,0,0.0,1.0,1.0,9,9,0.0,57.0
3697,150267281,3,6900000.0,53.1,35.4,5.5,15.0,15,1,0.0,0.0,1.0,5,9,0.0,57.0
3698,150436124,2,6990000.0,52.0,34,7,14.59,7,1,0.0,0.0,0.0,2,9,0.0,57.0
3699,50191663,3,7000000.0,50.8,34.4,6,14.25,4,0,0.0,1.0,1.0,1,9,0.0,57.0
3700,150919889,2,7000000.0,45.0,28,6,15.1,5,0,0.0,1.0,1.0,7,9,0.0,57.0
3701,148328173,3,7000000.0,61.0,45,6,15.17,11,1,0.0,1.0,1.0,9,9,0.0,57.0
3702,149875312,3,7000000.0,59.0,38,6,15.22,15,1,0.0,0.0,1.0,9,9,0.0,57.0
3703,150809052,3,7100000.0,60.0,44,6,14.95,10,0,0.0,1.0,1.0,9,9,0.0,57.0
3704,150630342,1,7200000.0,37.1,15.9,9.4,14.46,7,1,1.0,0.0,1.0,2,25,0.0,57.0
3705,49364524,2,7350000.0,48.0,28,9,14.41,15,1,0.0,1.0,1.0,12,14,0.0,57.0
3706,148829732,3,7400000.0,64.0,47.7,6.2,15.23,5,0,0.0,1.0,1.0,4,9,0.0,57.0
3707,137207483,2,7490000.0,50.2,34.3,7,14.82,15,0,0.0,1.0,1.0,11,12,0.0,57.0
3708,150782599,2,7500000.0,46.0,27,7,14.37,10,0,0.0,0.0,1.0,7,9,0.0,57.0
3709,150899406,2,7700000.0,52.0,33,9,14.66,10,1,0.0,0.0,1.0,10,12,0.0,57.0
3710,150404902,3,8000000.0,67.1,48.3,6,14.99,10,0,0.0,1.0,1.0,9,9,0.0,57.0
3711,147079675,3,8000000.0,56.9,37.4,6.1,13.9,13,1,0.0,1.0,1.0,2,9,0.0,57.0
3712,149408225,2,8500000.0,53.0,30.3,8.6,14.68,,,0.0,0.0,1.0,2,14,0.0,57.0
3713,150404426,2,9000000.0,51.0,20.5,9.6,14.63,28,1,0.0,0.0,1.0,14,17,0.0,57.0
